
lambda=0.05

 Loss2=0.0266, LossMSE=3.5090, LossGram=2.8430,Loss_Full=0.3604, Time=0.2526
0110 00419 Loss1=0.0174, Lambda=2.75, Loss2=0.0267, LossMSE=3.2178, LossGram=3.1931,Loss_Full=0.3647, Time=0.2391
0110 00420 Loss1=0.0161, Lambda=2.75, Loss2=0.0270, LossMSE=3.4260, LossGram=3.2993,Loss_Full=0.3794, Time=0.2534
0110 00421 Loss1=0.0168, Lambda=2.75, Loss2=0.0268, LossMSE=3.2658, LossGram=3.1266,Loss_Full=0.3633, Time=0.2529
0110 00422 Loss1=0.0199, Lambda=2.75, Loss2=0.0268, LossMSE=3.1704, LossGram=2.8715,Loss_Full=0.3488, Time=0.2512
0110 00423 Loss1=0.0144, Lambda=2.75, Loss2=0.0266, LossMSE=3.0075, LossGram=3.4295,Loss_Full=0.3629, Time=0.2536
0110 00424 Loss1=0.0162, Lambda=2.75, Loss2=0.0263, LossMSE=2.9423, LossGram=3.5841,Loss_Full=0.3689, Time=0.2588
0110 00425 Loss1=0.0183, Lambda=2.75, Loss2=0.0268, LossMSE=3.5360, LossGram=2.6623,Loss_Full=0.3550, Time=0.2446
0110 00426 Loss1=0.0162, Lambda=2.75, Loss2=0.0266, LossMSE=3.2103, LossGram=2.9506,Loss_Full=0.3508, Time=0.2600
0110 00427 Loss1=0.0171, Lambda=2.75, Loss2=0.0263, LossMSE=3.1646, LossGram=2.6730,Loss_Full=0.3352, Time=0.2501
0110 00428 Loss1=0.0159, Lambda=2.75, Loss2=0.0265, LossMSE=3.1105, LossGram=2.9794,Loss_Full=0.3469, Time=0.2478
0110 00429 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=3.2964, LossGram=3.0013,Loss_Full=0.3575, Time=0.2560
0110 00430 Loss1=0.0169, Lambda=2.75, Loss2=0.0266, LossMSE=3.8648, LossGram=3.4075,Loss_Full=0.4071, Time=0.2509
