系数为都为1

da=2.75, Loss2=0.0270, LossMSE=3.2928, LossGram=2.7760,Loss_Full=6.1149, Time=0.2549
0110 00413 Loss1=0.0135, Lambda=2.75, Loss2=0.0265, LossMSE=3.1570, LossGram=3.4620,Loss_Full=6.6590, Time=0.2546
0110 00414 Loss1=0.0164, Lambda=2.75, Loss2=0.0268, LossMSE=3.3925, LossGram=3.2054,Loss_Full=6.6412, Time=0.2520
0110 00415 Loss1=0.0156, Lambda=2.75, Loss2=0.0263, LossMSE=3.0100, LossGram=3.2404,Loss_Full=6.2924, Time=0.2553
0110 00416 Loss1=0.0151, Lambda=2.75, Loss2=0.0263, LossMSE=2.8531, LossGram=3.1382,Loss_Full=6.0326, Time=0.2617
0110 00417 Loss1=0.0191, Lambda=2.75, Loss2=0.0267, LossMSE=3.2345, LossGram=3.4660,Loss_Full=6.7463, Time=0.2451
0110 00418 Loss1=0.0161, Lambda=2.75, Loss2=0.0264, LossMSE=3.2621, LossGram=2.8830,Loss_Full=6.1877, Time=0.2566
0110 00419 Loss1=0.0180, Lambda=2.75, Loss2=0.0268, LossMSE=3.3247, LossGram=2.8081,Loss_Full=6.1775, Time=0.2540
0110 00420 Loss1=0.0155, Lambda=2.75, Loss2=0.0267, LossMSE=3.2897, LossGram=3.1737,Loss_Full=6.5056, Time=0.2541
0110 00421 Loss1=0.0161, Lambda=2.75, Loss2=0.0267, LossMSE=3.0530, LossGram=3.2179,Loss_Full=6.3138, Time=0.2651
0110 00422 Loss1=0.0177, Lambda=2.75, Loss2=0.0265, LossMSE=2.9302, LossGram=2.8792,Loss_Full=5.8536, Time=0.2620
0110 00423 Loss1=0.0140, Lambda=2.75, Loss2=0.0265, LossMSE=3.0653, LossGram=3.7531,Loss_Full=6.8590, Time=0.2545
0110 00424 Loss1=0.0167, Lambda=2.75, Loss2=0.0267, LossMSE=3.2087, LossGram=3.3444,Loss_Full=6.5966, Time=0.2626
0110 00425 Loss1=0.0142, Lambda=2.75, Loss2=0.0264, LossMSE=2.8069, LossGram=3.4979,Loss_Full=6.3453, Time=0.2460
0110 00426 Loss1=0.0145, Lambda=2.75, Loss2=0.0266, LossMSE=3.2416, LossGram=3.5735,Loss_Full=6.8562, Time=0.2423
0110 00427 Loss1=0.0161, Lambda=2.75, Loss2=0.0267, LossMSE=3.1210, LossGram=3.7769,Loss_Full=6.9407, Time=0.2466
0110 00428 Loss1=0.0148, Lambda=2.75, Loss2=0.0264, LossMSE=3.1401, LossGram=3.4148,Loss_Full=6.5961, Time=0.2377
0110 00429 Loss1=0.0155, Lambda=2.75, Loss2=0.0263, LossMSE=3.1039, LossGram=3.3483,Loss_Full=6.4940, Time=0.2559
