lamda =0.03

 Loss2=0.0264, LossMSE=3.3003, LossGram=3.1036,Loss_Full=0.2374, Time=0.2520
0110 00391 Loss1=0.0162, Lambda=2.75, Loss2=0.0263, LossMSE=3.1999, LossGram=2.8374,Loss_Full=0.2236, Time=0.2448
0110 00392 Loss1=0.0166, Lambda=2.75, Loss2=0.0262, LossMSE=3.2834, LossGram=2.8332,Loss_Full=0.2263, Time=0.2577
0110 00393 Loss1=0.0176, Lambda=2.75, Loss2=0.0260, LossMSE=3.1583, LossGram=2.6845,Loss_Full=0.2189, Time=0.2531
0110 00394 Loss1=0.0171, Lambda=2.75, Loss2=0.0265, LossMSE=3.1859, LossGram=2.9431,Loss_Full=0.2276, Time=0.2424
0110 00395 Loss1=0.0173, Lambda=2.75, Loss2=0.0265, LossMSE=3.2772, LossGram=2.7865,Loss_Full=0.2257, Time=0.2557
0110 00396 Loss1=0.0181, Lambda=2.75, Loss2=0.0267, LossMSE=3.3724, LossGram=3.3229,Loss_Full=0.2456, Time=0.2413
0110 00397 Loss1=0.0192, Lambda=2.75, Loss2=0.0268, LossMSE=3.5951, LossGram=2.2623,Loss_Full=0.2217, Time=0.2536
0110 00398 Loss1=0.0158, Lambda=2.75, Loss2=0.0267, LossMSE=3.0574, LossGram=3.3128,Loss_Full=0.2336, Time=0.2544
0110 00399 Loss1=0.0157, Lambda=2.75, Loss2=0.0267, LossMSE=3.3614, LossGram=3.1179,Loss_Full=0.2368, Time=0.2570
0110 00400 Loss1=0.0158, Lambda=2.75, Loss2=0.0263, LossMSE=3.1468, LossGram=3.1216,Loss_Full=0.2302, Time=0.2565
0110 00401 Loss1=0.0164, Lambda=2.75, Loss2=0.0267, LossMSE=3.3028, LossGram=3.2424,Loss_Full=0.2395, Time=0.2443
0110 00402 Loss1=0.0158, Lambda=2.75, Loss2=0.0264, LossMSE=3.2324, LossGram=3.4885,Loss_Full=0.2439, Time=0.2412
0110 00403 Loss1=0.0149, Lambda=2.75, Loss2=0.0267, LossMSE=3.0422, LossGram=3.7282,Loss_Full=0.2447, Time=0.2522
0110 00404 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.1605, LossGram=3.4007,Loss_Full=0.2391, Time=0.2392
0110 00405 Loss1=0.0152, Lambda=2.75, Loss2=0.0266, LossMSE=3.3506, LossGram=3.1904,Loss_Full=0.2381, Time=0.2601
0110 00406 Loss1=0.0162, Lambda=2.75, Loss2=0.0268, LossMSE=3.3287, LossGram=3.0482,Loss_Full=0.2343, Time=0.2501
0110 00407 Loss1=0.0169, Lambda=2.75, Loss2=0.0266, LossMSE=3.2705, LossGram=2.9827,Loss_Full=0.2311, Time=0.2437
0110 00408 Loss1=0.0143, Lambda=2.75, Loss2=0.0267, LossMSE=2.9152, LossGram=3.7801,Loss_Full=0.2418, Time=0.2547
0110 00409 Loss1=0.0149, Lambda=2.75, Loss2=0.0263, LossMSE=2.8708, LossGram=3.1994,Loss_Full=0.2233, Time=0.2408
0110 00410 Loss1=0.0152, Lambda=2.75, Loss2=0.0267, LossMSE=3.1778, LossGram=3.6526,Loss_Full=0.2468, Time=0.2390
0110 00411 Loss1=0.0162, Lambda=2.75, Loss2=0.0266, LossMSE=3.1803, LossGram=3.2182,Loss_Full=0.2348, Time=0.2520
0110 00412 Loss1=0.0150, Lambda=2.75, Loss2=0.0267, LossMSE=3.2210, LossGram=3.1042,Loss_Full=0.2315, Time=0.2406
0110 00413 Loss1=0.0148, Lambda=2.75, Loss2=0.0264, LossMSE=3.0795, LossGram=3.0977,Loss_Full=0.2265, Time=0.2567
0110 00414 Loss1=0.0149, Lambda=2.75, Loss2=0.0266, LossMSE=3.1008, LossGram=3.5195,Loss_Full=0.2401, Time=0.2545
0110 00415 Loss1=0.0147, Lambda=2.75, Loss2=0.0265, LossMSE=3.1313, LossGram=3.6929,Loss_Full=0.2459, Time=0.2530
0110 00416 Loss1=0.0171, Lambda=2.75, Loss2=0.0264, LossMSE=3.0740, LossGram=2.9144,Loss_Full=0.2231, Time=0.2397
0110 00417 Loss1=0.0158, Lambda=2.75, Loss2=0.0269, LossMSE=3.4286, LossGram=3.0262,Loss_Full=0.2363, Time=0.2539
0110 00418 Loss1=0.0150, Lambda=2.75, Loss2=0.0267, LossMSE=3.1050, LossGram=3.6272,Loss_Full=0.2437, Time=0.2524
0110 00419 Loss1=0.0197, Lambda=2.75, Loss2=0.0265, LossMSE=3.0883, LossGram=2.3535,Loss_Full=0.2094, Time=0.2623
0110 00420 Loss1=0.0169, Lambda=2.75, Loss2=0.0267, LossMSE=3.3531, LossGram=2.8562,Loss_Full=0.2299, Time=0.2395
0110 00421 Loss1=0.0164, Lambda=2.75, Loss2=0.0266, LossMSE=3.3483, LossGram=3.0866,Loss_Full=0.2360, Time=0.2526
0110 00422 Loss1=0.0169, Lambda=2.75, Loss2=0.0265, LossMSE=3.1546, LossGram=3.0226,Loss_Full=0.2287, Time=0.2408
0110 00423 Loss1=0.0172, Lambda=2.75, Loss2=0.0265, LossMSE=3.0595, LossGram=3.0325,Loss_Full=0.2265, Time=0.2577
0110 00424 Loss1=0.0154, Lambda=2.75, Loss2=0.0266, LossMSE=3.0697, LossGram=3.2143,Loss_Full=0.2305, Time=0.2479
0110 00425 Loss1=0.0172, Lambda=2.75, Loss2=0.0265, LossMSE=3.2407, LossGram=2.6469,Loss_Full=0.2204, Time=0.2631
0110 00426 Loss1=0.0163, Lambda=2.75, Loss2=0.0263, LossMSE=2.8208, LossGram=3.1967,Loss_Full=0.2231, Time=0.2417
0110 00427 Loss1=0.0164, Lambda=2.75, Loss2=0.0267, LossMSE=3.2024, LossGram=3.7204,Loss_Full=0.2507, Time=0.2689
0110 00428 Loss1=0.0147, Lambda=2.75, Loss2=0.0262, LossMSE=2.9438, LossGram=3.4019,Loss_Full=0.2313, Time=0.2505
0110 00429 Loss1=0.0151, Lambda=2.75, Loss2=0.0263, LossMSE=2.7815, LossGram=3.4212,Loss_Full=0.2275, Time=0.2526
0110 00430 Loss1=0.0149, Lambda=2.75, Loss2=0.0263, LossMSE=2.8837, LossGram=3.5283,Loss_Full=0.2336, Time=0.2534
