lamda3=0.1

5, Loss2=0.0267, LossMSE=3.2610, LossGram=3.7285,Loss_Full=0.7402, Time=0.2415
0110 00379 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.2287, LossGram=3.0036,Loss_Full=0.6654, Time=0.2536
0110 00380 Loss1=0.0164, Lambda=2.75, Loss2=0.0267, LossMSE=3.4786, LossGram=3.1637,Loss_Full=0.7073, Time=0.2549
0110 00381 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=3.2881, LossGram=2.7904,Loss_Full=0.6517, Time=0.2430
0110 00382 Loss1=0.0145, Lambda=2.75, Loss2=0.0264, LossMSE=2.9042, LossGram=3.4460,Loss_Full=0.6759, Time=0.2429
0110 00383 Loss1=0.0170, Lambda=2.75, Loss2=0.0267, LossMSE=3.1377, LossGram=3.1440,Loss_Full=0.6718, Time=0.2522
0110 00384 Loss1=0.0171, Lambda=2.75, Loss2=0.0268, LossMSE=3.1914, LossGram=2.9878,Loss_Full=0.6618, Time=0.2612
0110 00385 Loss1=0.0141, Lambda=2.75, Loss2=0.0265, LossMSE=2.9963, LossGram=3.3315,Loss_Full=0.6734, Time=0.2424
0110 00386 Loss1=0.0172, Lambda=2.75, Loss2=0.0267, LossMSE=3.2599, LossGram=3.1044,Loss_Full=0.6803, Time=0.2574
0110 00387 Loss1=0.0154, Lambda=2.75, Loss2=0.0265, LossMSE=3.1396, LossGram=3.1298,Loss_Full=0.6688, Time=0.2265
0110 00388 Loss1=0.0152, Lambda=2.75, Loss2=0.0265, LossMSE=2.8837, LossGram=3.4020,Loss_Full=0.6703, Time=0.2550
0110 00389 Loss1=0.0157, Lambda=2.75, Loss2=0.0261, LossMSE=2.8750, LossGram=3.3836,Loss_Full=0.6676, Time=0.2417
0110 00390 Loss1=0.0142, Lambda=2.75, Loss2=0.0266, LossMSE=3.0198, LossGram=3.2886,Loss_Full=0.6716, Time=0.2553
0110 00391 Loss1=0.0168, Lambda=2.75, Loss2=0.0265, LossMSE=3.2357, LossGram=2.7944,Loss_Full=0.6464, Time=0.2563
0110 00392 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.0423, LossGram=3.4322,Loss_Full=0.6894, Time=0.2557
0110 00393 Loss1=0.0172, Lambda=2.75, Loss2=0.0266, LossMSE=3.4982, LossGram=2.6441,Loss_Full=0.6580, Time=0.2591
0110 00394 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.0994, LossGram=3.1709,Loss_Full=0.6699, Time=0.2501
0110 00395 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=2.9118, LossGram=3.2776,Loss_Full=0.6606, Time=0.2559
0110 00396 Loss1=0.0171, Lambda=2.75, Loss2=0.0268, LossMSE=3.0489, LossGram=3.3475,Loss_Full=0.6835, Time=0.2511
0110 00397 Loss1=0.0149, Lambda=2.75, Loss2=0.0267, LossMSE=3.1879, LossGram=3.4431,Loss_Full=0.7047, Time=0.2596
0110 00398 Loss1=0.0160, Lambda=2.75, Loss2=0.0266, LossMSE=3.0255, LossGram=3.1392,Loss_Full=0.6591, Time=0.2257
0110 00399 Loss1=0.0162, Lambda=2.75, Loss2=0.0267, LossMSE=2.9865, LossGram=3.0895,Loss_Full=0.6505, Time=0.2494
0110 00400 Loss1=0.0147, Lambda=2.75, Loss2=0.0263, LossMSE=2.8924, LossGram=3.1846,Loss_Full=0.6487, Time=0.2570
0110 00401 Loss1=0.0146, Lambda=2.75, Loss2=0.0266, LossMSE=3.1077, LossGram=3.4196,Loss_Full=0.6939, Time=0.2417
0110 00402 Loss1=0.0164, Lambda=2.75, Loss2=0.0263, LossMSE=2.8605, LossGram=3.0336,Loss_Full=0.6320, Time=0.2568
0110 00403 Loss1=0.0186, Lambda=2.75, Loss2=0.0268, LossMSE=3.3141, LossGram=2.7425,Loss_Full=0.6511, Time=0.2415
0110 00404 Loss1=0.0180, Lambda=2.75, Loss2=0.0264, LossMSE=3.1079, LossGram=3.0833,Loss_Full=0.6635, Time=0.2434
0110 00405 Loss1=0.0169, Lambda=2.75, Loss2=0.0263, LossMSE=3.1289, LossGram=3.0858,Loss_Full=0.6647, Time=0.2356
0110 00406 Loss1=0.0174, Lambda=2.75, Loss2=0.0268, LossMSE=3.3600, LossGram=2.6766,Loss_Full=0.6478, Time=0.2466
0110 00407 Loss1=0.0203, Lambda=2.75, Loss2=0.0265, LossMSE=3.0636, LossGram=2.3913,Loss_Full=0.5923, Time=0.2553
0110 00408 Loss1=0.0179, Lambda=2.75, Loss2=0.0266, LossMSE=3.2708, LossGram=2.7916,Loss_Full=0.6507, Time=0.2357
0110 00409 Loss1=0.0173, Lambda=2.75, Loss2=0.0266, LossMSE=3.0264, LossGram=2.8893,Loss_Full=0.6354, Time=0.2493
0110 00410 Loss1=0.0160, Lambda=2.75, Loss2=0.0267, LossMSE=3.3307, LossGram=3.1329,Loss_Full=0.6891, Time=0.2556
0110 00411 Loss1=0.0164, Lambda=2.75, Loss2=0.0268, LossMSE=3.4726, LossGram=2.9668,Loss_Full=0.6871, Time=0.2385
0110 00412 Loss1=0.0149, Lambda=2.75, Loss2=0.0265, LossMSE=3.1294, LossGram=3.4559,Loss_Full=0.6999, Time=0.2444
0110 00413 Loss1=0.0204, Lambda=2.75, Loss2=0.0269, LossMSE=3.0475, LossGram=2.5089,Loss_Full=0.6030, Time=0.2357
