 lamda =0.06


 Loss2=0.0267, LossMSE=3.3019, LossGram=3.3932,Loss_Full=0.4440, Time=0.2503
0110 00383 Loss1=0.0156, Lambda=2.75, Loss2=0.0264, LossMSE=3.3202, LossGram=2.8856,Loss_Full=0.4144, Time=0.2531
0110 00384 Loss1=0.0165, Lambda=2.75, Loss2=0.0264, LossMSE=3.2456, LossGram=3.1983,Loss_Full=0.4296, Time=0.2418
0110 00385 Loss1=0.0156, Lambda=2.75, Loss2=0.0265, LossMSE=3.0748, LossGram=3.2161,Loss_Full=0.4195, Time=0.2540
0110 00386 Loss1=0.0154, Lambda=2.75, Loss2=0.0262, LossMSE=2.8540, LossGram=3.2825,Loss_Full=0.4098, Time=0.2350
0110 00387 Loss1=0.0195, Lambda=2.75, Loss2=0.0271, LossMSE=3.5669, LossGram=2.8471,Loss_Full=0.4315, Time=0.2530
0110 00388 Loss1=0.0166, Lambda=2.75, Loss2=0.0268, LossMSE=3.4395, LossGram=3.1328,Loss_Full=0.4377, Time=0.2310
0110 00389 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=2.8755, LossGram=3.5812,Loss_Full=0.4290, Time=0.2459
0110 00390 Loss1=0.0142, Lambda=2.75, Loss2=0.0266, LossMSE=3.1338, LossGram=3.4968,Loss_Full=0.4386, Time=0.2466
0110 00391 Loss1=0.0153, Lambda=2.75, Loss2=0.0267, LossMSE=3.2618, LossGram=3.2298,Loss_Full=0.4315, Time=0.2536
0110 00392 Loss1=0.0155, Lambda=2.75, Loss2=0.0269, LossMSE=3.0933, LossGram=3.5060,Loss_Full=0.4384, Time=0.2412
0110 00393 Loss1=0.0142, Lambda=2.75, Loss2=0.0266, LossMSE=3.0335, LossGram=3.4635,Loss_Full=0.4306, Time=0.2602
0110 00394 Loss1=0.0159, Lambda=2.75, Loss2=0.0270, LossMSE=3.3455, LossGram=3.5028,Loss_Full=0.4538, Time=0.2399
0110 00395 Loss1=0.0155, Lambda=2.75, Loss2=0.0270, LossMSE=3.3672, LossGram=3.5342,Loss_Full=0.4566, Time=0.2373
0110 00396 Loss1=0.0179, Lambda=2.75, Loss2=0.0269, LossMSE=3.1217, LossGram=3.2919,Loss_Full=0.4296, Time=0.2562
0110 00397 Loss1=0.0172, Lambda=2.75, Loss2=0.0269, LossMSE=3.0809, LossGram=3.1543,Loss_Full=0.4182, Time=0.2559
0110 00398 Loss1=0.0150, Lambda=2.75, Loss2=0.0266, LossMSE=3.1640, LossGram=3.3783,Loss_Full=0.4341, Time=0.2423
0110 00399 Loss1=0.0153, Lambda=2.75, Loss2=0.0266, LossMSE=3.0484, LossGram=3.1336,Loss_Full=0.4128, Time=0.2366
0110 00400 Loss1=0.0145, Lambda=2.75, Loss2=0.0265, LossMSE=3.0579, LossGram=3.2651,Loss_Full=0.4204, Time=0.2530
0110 00401 Loss1=0.0172, Lambda=2.75, Loss2=0.0268, LossMSE=3.4924, LossGram=2.9568,Loss_Full=0.4310, Time=0.2526
0110 00402 Loss1=0.0163, Lambda=2.75, Loss2=0.0266, LossMSE=3.4448, LossGram=2.8930,Loss_Full=0.4232, Time=0.2556
0110 00403 Loss1=0.0151, Lambda=2.75, Loss2=0.0263, LossMSE=2.8117, LossGram=3.5141,Loss_Full=0.4209, Time=0.2494
0110 00404 Loss1=0.0144, Lambda=2.75, Loss2=0.0265, LossMSE=3.2386, LossGram=3.2410,Loss_Full=0.4297, Time=0.2541
0110 00405 Loss1=0.0176, Lambda=2.75, Loss2=0.0264, LossMSE=2.9637, LossGram=2.8135,Loss_Full=0.3906, Time=0.2573
0110 00406 Loss1=0.0177, Lambda=2.75, Loss2=0.0266, LossMSE=3.1844, LossGram=2.7762,Loss_Full=0.4019, Time=0.2485
0110 00407 Loss1=0.0167, Lambda=2.75, Loss2=0.0263, LossMSE=3.1880, LossGram=2.9248,Loss_Full=0.4098, Time=0.2302
0110 00408 Loss1=0.0159, Lambda=2.75, Loss2=0.0271, LossMSE=3.0808, LossGram=3.3914,Loss_Full=0.4313, Time=0.2564
0110 00409 Loss1=0.0156, Lambda=2.75, Loss2=0.0266, LossMSE=3.1547, LossGram=3.5059,Loss_Full=0.4418, Time=0.2386
